,job_title,company_name,rating,company_location(city),company_location_state,salary_type,payment_cycle,Salary Range From,Salary range To,currency,job_type,job_benefits,qualifications,job_description
82,"Sr. Analyst, Data Engineering",CVS Health,3.3,Buffalo Grove,IL,,,,,,,,"SQL, VBA, SAS, Military, UNIX, Master's degree","Caremark LLC, a CVS Health company, is hiring for the following role in Buffalo Grove, IL: Sr. Analyst, Data Engineering to develop and implement database solutions for a broad spectrum of needs across the Enterprise. Duties include: execute SAS code to debug; use complex SQL queries to conduct data research and generate analytical reports; develop SAS programs to run ad hoc jobs; identify data related issues and recommend corrective actions; use ODS features for outputting SAS data and creating reports; use SAS macros while programming for code reusability; work on multiple campaigns in parallel; and develop processes to collect, merge, and analyze very large datasets. Multiple positions.

Required Qualifications
Master’s degree (or foreign equivalent) in Information Technology Management, Computer Science, Data Science, Business Analytics, or a related field and one (1) year of experience in each of the following: SAS tools and processes; SQL, PL/SQL, C, VBA, HTML, XML, VB Script, and VB6; Oracle or similar databases; and Windows, MS DOS, and Unix.

Preferred Qualifications
See Required Qualifications.

Education
See Required Qualifications.

Business Overview
Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities."
83,Lab Analyst,Almatis Inc,3.2,Benton,AR,Explicitly Defined,Hourly,26.08,26.08,$,Full-time,"Dental insurance, Health insurance, Disability insurance, 401(k), Vision insurance","Laboratory procedures, Microsoft Excel, Mechanical knowledge, Laboratory experience, Analytical chemistry, Bachelor's degree","Are you looking for an interesting job to gain new perspectives and expand on your professional development? Do you want to grow within an international, highly motivated team with a spirit of performance, connectedness & appreciation? Almatis is looking for engaged and driven people to join our team! Apply below and take the first step toward joining our growing global company.



Independently analyze samples from the production process, finished products and raw materials from suppliers, so that an optimal product quality is achieved, and the process can be adjusted in a timely manner to the customer's specifications.

Job Type: Full-time

Pay: $26.08 per hour ($26.60 beginning 3/1/23)

Qualifications:Education and/or Experience:
A Bachelor's degree in Chemistry, Biology, Physics, Geology, Laboratory Science or Engineering is required.
Two years of prior laboratory experience in chemical analysis, mechanical testing, safe chemical handling, and general knowledge of laboratory procedures is preferred but not required.

Knowledge and Skills:
Extensive knowledge of analyzing methods, analyzing equipment, quality, safety and environmental regulations is preferred, but not required.
Good knowledge of PC applications amongst them Excel and Word and SAP/R3 QM module is preferred, but not required.

Job Requirements

The position requires the ability to work 12-hour shifts.
This position requires the flexibility to work-days, nights, weekends, and some holidays.
The scheduled shift hours are 6am-6pm.
This position is located in Benton, AR - there is no relocation package for this position and testing/interviewing must be completed on-site at the Benton location. Any travel expenses related to interviewing are at the applicant's expense.

Duties and responsibilities include:
Performing standard analyses of samples from all production plants and of raw materials from suppliers
Reporting deviations by monitoring the quality of the product and trouble-shooting possible causes for the change and reporting this to operations.
Executing analyses based upon the customer supplied specifications according to standard methods and interacting with internal and external customers
Identifying trends in quality of the product, performing additional tests and reporting to plant management.
Running calibration of test equipment according to defined frequency
Take corrective actions if calibration is not within specified range
Input and analyze data to ensure production receives data needed to ensure that customers receive the highest quality product in the industry.

Benefits:
All health benefits (medical, dental, vision), disability benefits, life insurance begin the first of the month after hire. 401k begins within 30 days and employees are fully vested after 3 years."
84,"Business Analyst / Plano, TX / Business / AS797793",BTI Solutions,2.4,Plano,TX,Estimated,Annually,"59,000","79,000",$,,"Dental insurance, Health insurance, 401(k) matching, 401(k), Paid sick time","Accounting, Communication skills, Forecasting, Bachelor of Science, Bachelor's degree","Why Work for Us?

Established in 2006, continues to grow dramatically within the IT/telecommunications/Automobility and SCM industry. We encourage our employees in personal development with a passion to succeed and we offer an excellent benefit package. Every employee has access to Medical, Vision, Dental, Life and 401K plus many more.

401K with Employer Match
Company Paid Dental, Vision, Life and Medical up to 100%
Paid Sick Leave
Chance for VISA sponsoring

Top 3 must-have skills/requirements – Bilingual Korean & English, Active, communication Skill
Education requirement – BA, BS admin, accounting, business
Years of experience – 2 years on the similar field

Perform financial forecasting, annual business plan and rolling plan, variance analysis of actual versus forecast and reconciliation of internal accounts to assess strategic decision alternatives.
Perform the monthly profit and loss closing process.
Prepare current financial status by month-end closing to analyze the variances between budget vs. Actual by the business plan.
Support internal and external teams with R&D Tax Credit preparation
Setup yearly investment plans and quarterly overhead plans (or as requested) for HQ
Provide various financial reports as needed to team manager(Labor, Outsourcing, Travel ,Entertainment, LVA and Etc.)
Coordinate with financial management teams, and identify and reconcile budget errors
Submit and obtain PUMI approval for all special projects/request
Assist strategic planning to reduce cost and improve efficacy of financial operation
Collaborate with cross-functional teams to manage expenses
Perform Resource management tasks by tracking data and report resource related report
Coordinate with HRBP to maintain the yearly resource plan and organizational support
Assist and coordinate the asset management collaborating with related teams
Collaborate with cross-functional partners such as GA, IT helpdesk, and Security, TEMS team if there is any inquiries or request from the teams
Other Duties as assigned by supervisor

BTI Solutions, Inc. is an equal opportunity employer m/f/d/v."
85,DATA ANALYST,The State of New Hampshire,3.8,Concord,NH,Explicitly Defined,Annually,"44,129","61,893",$,Full-time,,"Power BI, Certified Government Financial Manager, Driver's License, ERP systems, Data analysis skills, Bachelor's degree","State of New Hampshire Job Posting

Liquor Commission

Administrative Division

50 Storrs Street, Concord NH 03301

Program Specialist II - Finance Data Analyst

Labor Grade: 21

Position #8T3119

The State of New Hampshire, Liquor Commission has a vacancy for a Full-time Program Specialist II.

Summary:
To evaluate business policies, practices and procedures for the Liquor Commission to ensure successful development and delivery of complex business and technology projects and initiatives supporting the Finance Department of the Liquor Commission. To analyze and formulate procedures and controls to contribute towards the development, implementation, and reconciliation of financial systems while implementing and following all NH Liquor Commissions rules and policies.

ACCOUNTABILITIES:
Provides assistance in the implementation of upgrades and new modules of the Enterprise resource Planning (ERP) system. A nalyzes and formulates procedures and controls to contribute towards the development, implementation, and reconciliation of financial systems.Analyzes and communicates statistical and financial data for use by Senior Management in program planning, policy development, annual and biennial budget preparation and development of business action plans.Provides and coordinates review through a wide range of analytical activities for the statistical and financial reporting and analytical responsibilities of the Finance Department and provides reporting and analysis to promote decision-making through written reports and oral communication.Develops and implements procedures to address recommendations to improve department system applications and practices based on Liquor Commission objectives.Analyzes system errors and performance management related to the finance system to recommends solutions and provide assistance to Finance personnel. Researches and recommends automated solutions to user-identified needs.Develops planning and training documents. Identifies workflow and coordinates improvements, system changes, and interfaces with other internal and external operations. Creates supporting procedures and processes to provide training to Finance staff. Offers support and mentor participants to assist with creation and reporting of project artifacts.As directed by the CFO, initiates planning and evaluation of work procedures and outlines solutions to address business objectives across the NH Liquor Commission.Develops, reviews, analyzes, and delivers monthly, quarterly, yearly, ad hoc, and specialized reports for CFO and Finance Administrators.
Recognizes that everyone we come into contact with is a customer and treat all with courtesy, respect, and the utmost professionalism.

MINIMUM QUALIFICATIONS:
Education : Bachelor's degree from a recognized college or university with major study in accounting or a related field. Each additional year of approved formal education may be substituted for one year of required work experience.

Experience : Three years' professional or paraprofessional experience in data analysis or a related field, with responsibility for program implementation, direct service delivery, planning or program evaluation. Each additional year of approved work experience may be substituted for one year of required formal education .

License/Certification: Must possess a valid driver’s license and have access to reliable transportation for attendance at meetings and hearings.

PREFERRED QUALIFICATIONS: Current certificate of Certified Public Accountant (CPA) or Certified Government Financial Manager (CGFM) preferred.

PREFERRED WORK TRAITS:
Knowledge of Microsoft D365 and PowerBI

Knowledge of research and planning methods and techniques.

Knowledge of modern office equipment, practices, and procedure.

Ability to detect and define problem areas and causes and to create and develop effective solutions, including the exercise of sound judgment in evaluating situations, planning action, making decisions and setting priorities.

Ability to work independently to develop new or alternative approaches to meet changing and variable conditions.

Ability to communicate effectively.

Ability to maintain effective working relationships with other employees and the public.

Willingness to maintain appearance appropriate to assigned duties and responsibilities as determined by the agency appointing authority.

DISCLAIMER STATEMENT: The supplemental job description lists the essential functions of the position and is not intended to include every job duty and responsibility specific to the position. An employee may be required to perform other related duties not listed on the supplemental job description provided that such duties are characteristic of that classification.

In addition, applicants are subject to a criminal background check and reference check.

For further information please contact HR@LIQUOR.NH.GOV

EOE

TDD Access: Relay NH 1-800-735-2964"
86,Senior Business Intelligence Analyst,Concentrix,3.4,Denver,CO,Explicitly Defined,Annually,"59,000","108,000",$,Full-time,"Health savings account, Dental insurance, Health insurance, AD&D insurance, 401(k)","Power BI, SQL, Microsoft Excel, Analysis skills, Tableau, Bachelor's degree","Job Title:
Senior Business Intelligence Analyst



 Summary
The Senior Business Intelligence Analyst role will lead strategic business decisions for customers and/or stakeholders by developing and providing data analysis and reporting of complex patterns, insights and trends. This role will mine data from a variety of data sources in order to strategically support, design and predict outcomes with impactful recommendations to internal and/or external stakeholders. These insights will help solve highly complex business problems, implement best practices and optimize business performance. The Senior Business Analyst will create highly complex specifications for reports and analysis based on an in-depth understanding of business needs and data available. The position will ensure processes are followed and any fall out are addressed properly using a high-level of independent judgement and analytical skill. The Senior Analyst will help more junior staff with the most complex items. Will receive mentorship on new business problems and highly complex projects. May help create standard processes for the role. Requires expert knowledge of analysis solutions/tools and domain languages. May need to be proficient in Customer Relationship Management (CRM) databases and/or Business Intelligence (BI) Tools.

You Will:
Leverages independent judgement and advanced analytical skills to interpret highly complex goals, trends, risks and areas for improvement by collecting, analyzing, reporting and predicting on key metrics and conclusionsUses advanced analytic solutions to support customer teams and improve efficiencies. Works on projects/matters of high complexity in an advisor role. Complexity can vary based on several factors such as client size, number of systems, varying levels of established structures, or dynamics of customer and or dataWorks cross-functionally to serve as a trusted advisor and expert for internal and/or external relationships to ensure high quality data is available for analysis and better business understandingDevelops and delivers highly complex data driven insights, recommendations and predictions to internal and/or external stakeholdersEngages with strategic stakeholders for planning, forecasting, and gaining a solid understanding of impactful business questions to successfully document for analysis and decision makingProvides guidance and mentorship to more junior level analysts and receives mentorship related to new complex business problems and highly complex projects. Work is highly independent and reliable
You Have:
Proficient knowledge of advanced analysis solutions/tools (such as OLTP/OLAP data structures, advanced Excel, Tableau, Salesforce, Power BI, Business Objects)Proficient knowledge of domain languages (such as SQL Query, HIVEQL, etc.)Application of highly complex statistical methods (such as regression analysis, correlation, causation, etc.)5+ years of related experience to reflect skills and talent necessary for this role preferredRequires the ability to communicate and present effectively to all levels of external and/or internal leadership, including a strong executive presenceMay require advanced sales motion knowledge (such as new sales, renewals, customer success)May require advanced industry & demographic understanding in one of the following (Hardware, Software, SaaS, Healthcare or industrial)Bachelor’s Degree/Diploma, or the equivalent, preferred. Degree/Diploma in computer science, finance or statistics/mathematics a plus7+ years’ experience in data driven business insight & recommendations, business analytics, dashboard design experience
Our Benefits and Perks:
Various medical, dental, vision plan and life insurance programsRetirement Planning tools including 401(k) savings with matching contributions and Health Savings AccountsPaid time off, disability programs and paid parental leave.Birthday Time OffVolunteer Time Off (VTO), paid time yearly to volunteer with an organization of your choice.Rewards and recognition programsWellness Incentive ProgramLearning and Development ProgramsBase Pay of ($59,000-108,000) based on qualifications/experienceAnnual bonus potential (target of 10% of base salary)
Accommodation and Diversity:
We have always been and will always be committed to the principle that everyone at Concentrix B2B, regardless of who they are, where they hail from, the color of their skin, who they worship, or who they love, has equal opportunity, with policies and values which codify this, across all the countries where we are based. You will be considered without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Virtual First and Remote Work:
Concentrix B2B is a Virtual First company, which means work outside of an office will be the primary experience for most employees for the foreseeable future. Equipment will be provided, but a space at home to work is required. Uninterrupted home-based internet is required in your home to attend and host video calls, a minimum bandwidth speed of 20mbps is important.

We can currently conduct business in the following states: TN, CO, TX, AZ, KS, MS, GA, AL, NC, SC, IN, VA, and FL. This list is subject to change. Please inquire with your recruiter for more information.

#LI-REMOTE

#LI-AT2

Location:
USA Denver - 707 17th Street

Language Requirements:
Time Type:
Full time

Benefits:
For Regular and Temporary Employees: Healthcare benefits, wellbeing program, dental benefits, vision benefits, flexible spending accounts, health savings accounts, Employee Assistance Program, 401(k), life insurance, accidental death and dismemberment, paid time off, disability insurance, several voluntary benefits; legal, home and auto, accident insurance and hospital indemnity, and holidays."
87,Technical Business Analyst,"Fiserv, Inc.",3.4,Berkeley Heights,NJ,,,,,,Full-time,,"APIs, Root cause analysis, Financial services, Bachelor's degree","Job Posting Title: Technical Business Analyst

What does a successful Technical Business Analyst do at Fiserv?

Fiserv is a world-class data and analytics organization delivering the next generation of powerful data insights and decisioning solutions to financial institutions, fintech, consumer/business credit bureaus, government agencies and merchants.

As a successful Technical Business Analyst, you will assist the API Product Owner with the execution of the API Strategy and the day to day responsibilities of the role including tracking projects and brainstorming on revenue-generating opportunities.

What you will do:
You will own the strategic development of the new API Developer Studio, an online portal that lists, defines and presents APIs for public use by Fiserv’s Issuer clients.

Take a strategic and customer facing approach to provide guidance to the development team, user experience teams and marketing teams.
Assist the Product Owner with streamlining the API billing system in order to automate billing for Fiserv’s Issuer APIs.
Translate business requirements into detailed technical specifications, workflows, data tables, queries, and prototypes
Participate in projects related to ingesting data into analytics environments

What you will need to have:
Bachelor's degree in business, operations, or a related field
2+ years of experience in business and IT program and project management
The ability to travel as required

What would be great to have:
2+ years of experience in the Financial Services Industry
Understand user journeys and user experience; generate insights that establish category leadership, improve user experience and drive growth
Experience managing technical issues to resolution including problem identification, root cause analysis, and solution implementation with engineers.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Explore the possibilities of a career with Fiserv and Find Your Forward with us!

We welcome and encourage diversity in our workforce. Fiserv is an Equal Opportunity Employer.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran."
88,"Sr. Analyst, Data Management",Comcast,3.7,Philadelphia,PA,,,,,,,,"Teradata, SQL, Hadoop, Oracle, Microsoft SQL Server, Bachelor's degree","Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast.

Job Summary

Responsible for working cross-functionally to collect data and develop models to determine trends utilizing a variety of data sources. Imports, cleans, transforms, or manipulates data with the purpose of understanding or making conclusions from the data for decision making purposes. Has in-depth experience, knowledge and skills in own discipline. Usually determines own work priorities. Acts as resource for colleagues with less experience.



Core Responsibilities

Collaborates with both the analytic organization and its technology partners to define and publish complex data products.
Provides training to and acts as technical resource for team members.
Acts as a subject matter expert in one or more data subject areas such as sales, call center, network operation and financial data.
Serves as a team leader within a work group or on cross-functional teams; accepts team lead stretch assignments. Presents results, recommendations and business insights to broader senior leadership team.
Produces a variety of reports, graphs, summaries and presentations that convey analytic results and align with business needs.
Performs basic research on root cause of data anomalies that are uncovered through normal course of analysis.
Writes complex SQL to query large data platforms such as Teradata, SQL server, Oracle and Hadoop to obtain data necessary for analysis. Combines data as needed from disparate data sources to complete analysis.
Participates in defining business intelligence requirements for projects and data requests.
Participates in multiple enterprise wide projects by providing data analysis to project leaders.
Follows best practices and established policies in business intelligence data analysis, maintenance and data quality.
Creates technical documentation (internal).
Consistent exercise of independent judgment and discretion in matters of significance.
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary.
Other duties and responsibilities as assigned.

Employees at all levels are expected to:
Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.

Disclaimer:
This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Comcast is proud to be an equal opportunity workplace. We will consider all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other basis protected by applicable law.

Education

Bachelor's Degree

While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience.

Relevant Work Experience

5-7 Years

Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details."
89,Project Analyst - 1201055,ESC Engineering,,United States,United States,Estimated,Annually,"58,000","79,000",$,,,,"G2 Integrated Solutions (G2-IS) delivers expertise to pipeline operators, utility companies, and other energy stakeholders in six specialized service disciplines: Asset Integrity, Engineering, Field Services, Geographic Information System (GIS) Services, Regulatory Compliance, and Software and Technology

Analyze data to identify and anticipate project deviations (cost, schedule, and budget) allowing stakeholders to develop corrective actionsEstablish and maintain integrated performance measurements of scope, schedule and cost baselines; report to project manager (per communication plan) on project metrics; may include: Forecasted/Current Margin, Progress Variance, Price Variance, Cost Variance, Schedule Variance,Burn Rate, Forecast at Completion, Earned Value Analysis (Baseline, Forecasted, Actual); review explanations and possible recovery plan actions for any identified varianceSupport the change control process through necessary documentationMonitor risk and mitigation on appropriate projects to assist with necessary corrective actionsTrack Change Orders through logs for all aspects related to budgets, scope, and schedule; assist with updates to enterprise systemsUtilize enterprise systems to design and generate reports; ensuring that variance and trend analysis is documented and communicated to stakeholders.
"
90,Technical Business Intelligence Analyst,Memorial Hermann Health System,3.9,Houston,TX,Estimated,Annually,"76,000","96,000",$,,,"Customer support, Communication skills, Organizational skills, Bachelor's degree","At Memorial Hermann, we're about creating exceptional experiences for both our patients and our employees. Our goal is to provide opportunities for our diverse employee population that develop and grow careers in a team-oriented environment focused on patient care.

Every employee, at every level, begins their journey at Memorial Hermann learning about the history of the organization and its established culture built on trust and integrity. Our employees drive this culture, and we want you to be a part of it.

Job Summary
Position responsible for programming complex computer applications and systems in support of development projects and business objectives. Must be able to demonstrate knowledge and skills required in a large, complex corporate Information System. A working knowledge of mainframe, minicomputer, or microcomputer operations, equipment, operating systems, development tools and methodologies is required. The Senior Application Programmer Analyst reports directly to the Manager, and may works under the guidance of the Lead Application Analyst.

The Senior Application Programmer Analyst applies technical skills, in line with MH's values and goals, to assure the efficient, effective and consistent delivery of high quality services. The Senior Application Programmer Analyst is responsible for demonstrating a commitment to the Partners-in-Caring process by integrating both Behaviors and Operating Principles in all internal and external customer interactions. Performs duties with accountability, competency, innovation, collaboration, compassion and respect to create the best possible outcomes with exceptional customer experiences.

Minimum Qualifications

Education: Bachelors degree or four (4) years of industry experience in lieu of degree

Licenses/Certifications: (None)

Experience / Knowledge / Skills:
Demonstrates broad technical knowledge and strong problem solving abilities
Advanced Programming knowledge and skills
Experience assisting other programmers
Good planning and organizational skills
Good communication skills
Good interpersonal skills
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of ""we advance health"" through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.

Principal Accountabilities

Performs design, coding, debugging, testing and implementation tasks for the intermediate level computer programs and systems, providing assistance to other programmer when required.
Completes service requests/projects according to established schedules and timeframes.
Addresses and resolves user issues.
Develops an understanding of user terminology.
Provides customer support to both internal and external customers.
Serves as a primary team contributor and sets team participation example for others.
Develops an understanding of ISD solution segments.
Develops and implements program documentation.
Adheres to technical programming and application standards.
Conducts meetings.
Perform other duties and special projects as assigned.
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education, skills competency, supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor, and resource to less experienced staff.
Other duties as assigned."
91,PLADS Sr Business Systems Analyst,"Aflac, Incorporated",3.5,Remote,Remote,Estimated,Annually,"89,000","120,000",$,Full-time,,"Communication skills, UML, Requirements management, Business analysis, Data analysis skills, Bachelor's degree","Job Summary

Participates in workstreams/projects of overall high complexity in support of business initiatives with minimal guidance and direction from management. Drives day to day prioritization of project work, working with assigned team to meet required project outputs. Assesses and evaluates business processes in order to identify opportunities and make recommendations for improvement changing how a particular activity is carried out.

Principal Duties & Responsibilities

With limited management guidance and using independent discretion and decision making, identifies and records detailed requirements from business users through interviews, documentation and facilitated working sessions for approved projects and enhancements while complying with the main principles relevant to legal and regulatory controls that govern standard work practices; coordinates activities with business owners to gather requirements, monitor business decisions, and manage documentation and communication; adapts to apply different delivery methodologies including SCRUM, Waterfall, and Lean Six SigmaUnderstands customers' objectives, processes, products and services in order to make educated recommendations that meet stakeholders' needs and expectations; creates process models based on business requirements in order to determine the completeness of the information and process components; assists in the evaluation of project impact through consultation with the business, regulatory, Information Technology management, development, quality assurance, validation and training teamsObtains feedback and manages change processes while implementing the project plan(s); produces requirement specifications and outlines solution design documents throughout the project life cycle, incorporating change requests and finalization of requirements documentation; prioritizes business change work, in line with project plans in order to deliver customer requirementsPerforms analysis and management of requirement risk, trace ability matrix and prioritizes requirements; performs quality review checks on project deliverables; supports development of test plan, testing, implementation and training activities; supports integration testing to ensure original requirements are met; assists quality assurance with the creation and execution of acceptance testing as neededDevelops, enhances, and maintains internal and external facing reporting solutions by gathering requirements in collaboration with business partners and technical resources; prepare reports for leadership, operations, and the account management team; analyzes data to identify opportunities for process improvement in areas such as client consultation and operations; provides user support through training on the use of reporting tools, ad hoc requests for data, and issue analysisSupports post-implementation activities including problem solving and measurement of benefits achieved; identifies any potential issues and supports the analysis to determine root causeWorks with Business Systems Analysts and Architects to analyze and document impact of proposed technology to existing architecture and communicates any potential risksBalances the competing constraints of business need, services, technology, and quality to produce the specified product, service or result with minimal change requests requiredMonitors and reviews project financial information, updating where necessary in order to identify any anomalies or discrepancies against key project metrics and ensure management has access to up to date and accurate information; develops cost benefit analyses in accordance with standard processes to support the creation of realistic business cases for change initiativesMonitors and reviews project work in order to ensure appropriate use of materials, tools, equipment or resources and adherence to schedulesConducts due diligence on transactions and processes in order to determine the risk profile of a project in compliance with relevant regulations and recommends appropriate actionIndependently collates and analyzes data using pre-determined tools, methods and formats and make recommendations in order to support business change's decision making processProvides specialist advisory support to internal clients on a daily basis by being point of contact to ensure that there is no misalignment between policy and project practice; builds relationships with local team members to support delivery of projectsPerforms other related duties as required
Education & Experience Required

Bachelor's Degree In business or a related field
5 or more years of experience in the Business Analysis area

Or an equivalent combination of education and experience

Job Knowledge & Skills

Advanced experience with requirements management tools and techniques, such as UML Class/Sequence Diagrams, Use Cases, Story-boarding, Rational Tools Suite and Quality Center, etc.Advanced experience using data query tools to perform data analysis, profiling and validationStrong written and verbal communication skills
Competencies

Acting with Integrity
Communicating Effectively
Pursuing Self-Development
Serving Customers
Supporting Change
Supporting Organizational Goals
Working with Diverse Populations"
92,Business Analyst - Life Mod Strategy,State Farm,3.7,Bloomington,IL,Explicitly Defined,Annually,"58,012","137,000",$,Full-time,"Dental insurance, Health insurance, Tuition reimbursement, Paid time off, 401(k)","Microsoft Excel, SharePoint, Microsoft Powerpoint, VersionOne, Communication skills","Overview:
We are not just offering a job but a meaningful career! Come join our passionate team!

As a Fortune 50 company, we hire the best employees to serve our customers, making us a leader in the insurance and financial services industry. State Farm embraces diversity and inclusion to ensure a workforce that is engaged, builds on the strengths and talents of all associates, and creates a Good Neighbor culture.

We offer competitive benefits and pay with the potential for an annual financial award based on both individual and enterprise performance. Our employees have an opportunity to participate in volunteer events within the community and engage in a learning culture. We offer programs to assist with tuition reimbursement, professional designations, employee development, wellness initiatives, and more!

Visit our Careers page for more information on our benefits, locations and the process of joining the State Farm team!

Competitive Benefits, including:
401k Plan
Health Insurance
Dental/Vision plans
Life Insurance
Paid Time Off
Annual Merit Increases
Tuition Reimbursement
Health Initiatives
For more details visit our Benefits Summary page.

Location: Bloomington, IL - Corporate | Richardson, TX - CityLine | Tempe, AZ - Marina Heights | Current Remote locations considered

Work Arrangement: Hybrid - In office commitment is currently 4-5 days per month in hub locations. This may be reevaluated as business needs dictate.

Compensation:
Potential salary range for this position is: $58,011.85-$137,000.00.
Potential yearly incentive pay up to 12% of base salary

Responsibilities:
Define business requirements, recommendations and drive out to the point of approval
Freedom to develop own process for leading business decisions and/or driving out work, but done in an organized way with documentation for future reference and visibility
Working with Enterprise Technology (ET) to develop solutions - understand impacts to project outcomes including experience
Evaluate and analyze Customer/Agent/Operations value compared to technical build cost/time
Proactively see change needs and initiate conversations with key business partners and stakeholders
Seek feedback from established feedback loops and influence enhancements based on defined business outcomes
Coordinate data strategy across multiple data ownership teams and understand mechanics of how things are measured
Cost-benefit-analysis (CBA) and operational efficiency identification and tracking

Qualifications:
Ability to apply strategic thinking to positively impact business outcomes
With little direct oversight, can project management multiple large work efforts at one time and coordination of multiple stakeholders with an organized approach.
Ability to coordinate project work across multiple business partners to better understand business problems, brainstorm solutions and analyze cost/value.
Willing to challenge the status quo and push on what we are capable of internally in order to develop the best solution
Uses data to drive outcome based decisions
Strong communication both verbal and written – ability to succinctly and clearly articulate the problem being solved for, recommended solution, and expected outcome using data
Familiarity with collaborating across multiple teams, processes and systems
Ability to paint the picture of what's going on through words, data and visuals
Familiarity with roadmap, milestone and dependency management through cross-team collaboration and accountability
Experience with Microsoft Office including OneNote, Excel, PowerPoint and SharePoint
Experience with VersionOne"
